"";"ordre_punt";"location_x";"location_y";"location_z";"cursa_id";"distancia_desde_inici"
"1";1;-3,802528;37,7780921;533,6;"UOCTFG1";0
"2";2;-3,80247181745283;37,7780870938679;533,484905660377;"UOCTFG1";4,96901763163452
"3";3;-3,80241563490566;37,7780820877358;533,369811320755;"UOCTFG1";9,93803559565422
"4";4;-3,80235945235849;37,7780770816038;533,254716981132;"UOCTFG1";14,9070538907637
"5";5;-3,80230326981132;37,7780720754717;533,13962264151;"UOCTFG1";19,876072519167
"6";6;-3,80224708726415;37,7780670693396;533,024528301887;"UOCTFG1";24,8450914800685
"7";7;-3,80219090471698;37,7780620632075;532,909433962264;"UOCTFG1";29,8141107730594
"8";8;-3,80213472216981;37,7780570570755;532,794339622641;"UOCTFG1";34,7831303972545
"9";9;-3,80207853962264;37,7780520509434;532,679245283019;"UOCTFG1";39,7521503547818
"10";10;-3,80202235707547;37,7780470448113;532,564150943396;"UOCTFG1";44,7211706447016
"11";11;-3,8019661745283;37,7780420386792;532,449056603774;"UOCTFG1";49,6901912667849
"12";12;-3,80190999198113;37,7780370325472;532,333962264151;"UOCTFG1";54,6592122201702
"13";13;-3,80185380943396;37,7780320264151;532,218867924528;"UOCTFG1";59,6282335069508
"14";14;-3,80179762688679;37,778027020283;532,103773584906;"UOCTFG1";64,5972551260236
"15";15;-3,80174144433962;37,7780220141509;531,988679245283;"UOCTFG1";69,5662770773632
"16";16;-3,80168526179245;37,7780170080189;531,87358490566;"UOCTFG1";74,5352993597011
"17";17;-3,80162907924528;37,7780120018868;531,758490566038;"UOCTFG1";79,5043219756741
"18";18;-3,80157289669811;37,7780069957547;531,643396226415;"UOCTFG1";84,4733449237461
"19";19;-3,80151671415094;37,7780019896226;531,528301886793;"UOCTFG1";89,442368204072
"20";20;-3,80146053160377;37,7779969834906;531,41320754717;"UOCTFG1";94,4113918156438
"21";21;-3,8014043490566;37,7779919773585;531,298113207547;"UOCTFG1";99,3804157606933
"22";22;-3,80134816650943;37,7779869712264;531,183018867924;"UOCTFG1";104,349440037994
"23";23;-3,80129198396226;37,7779819650943;531,067924528302;"UOCTFG1";109,318464647523
"24";24;-3,80123580141509;37,7779769589623;530,952830188679;"UOCTFG1";114,287489588047
"25";25;-3,80117961886792;37,7779719528302;530,837735849057;"UOCTFG1";119,256514862227
"26";26;-3,80112343632075;37,7779669466981;530,722641509434;"UOCTFG1";124,225540468544
"27";27;-3,80106725377359;37,777961940566;530,607547169811;"UOCTFG1";129,194566406376
"28";28;-3,80101107122642;37,777956934434;530,492452830189;"UOCTFG1";134,163592676089
"29";29;-3,80095488867925;37,7779519283019;530,377358490566;"UOCTFG1";139,132619279263
"30";30;-3,80089870613208;37,7779469221698;530,262264150943;"UOCTFG1";144,101646214878
"31";31;-3,80084252358491;37,7779419160377;530,147169811321;"UOCTFG1";149,070673482742
"32";32;-3,80078634103774;37,7779369099057;530,032075471698;"UOCTFG1";154,039701081527
"33";33;-3,80073015849057;37,7779319037736;529,916981132076;"UOCTFG1";159,008729013907
"34";34;-3,8006739759434;37,7779268976415;529,801886792453;"UOCTFG1";163,977757278494
"35";35;-3,80061779339623;37,7779218915094;529,68679245283;"UOCTFG1";168,946785875394
"36";36;-3,80056161084906;37,7779168853774;529,571698113208;"UOCTFG1";173,915814803285
"37";37;-3,80050542830189;37,7779118792453;529,456603773585;"UOCTFG1";178,88484406481
"38";38;-3,80044924575472;37,7779068731132;529,341509433962;"UOCTFG1";183,853873658499
"39";39;-3,80039306320755;37,7779018669811;529,22641509434;"UOCTFG1";188,822903584661
"40";40;-3,80033688066038;37,7778968608491;529,111320754717;"UOCTFG1";193,791933841685
"41";41;-3,80028069811321;37,777891854717;528,996226415094;"UOCTFG1";198,760964432302
"42";42;-3,80022451556604;37,7778868485849;528,881132075472;"UOCTFG1";203,72999535517
"43";43;-3,80016833301887;37,7778818424528;528,766037735849;"UOCTFG1";208,699026610253
"44";44;-3,8001121504717;37,7778768363208;528,650943396226;"UOCTFG1";213,668058196531
"45";45;-3,80005596792453;37,7778718301887;528,535849056604;"UOCTFG1";218,637090116246
"46";46;-3,79999978537736;37,7778668240566;528,420754716981;"UOCTFG1";223,606122368015
"47";47;-3,79994360283019;37,7778618179245;528,305660377358;"UOCTFG1";228,575154952359
"48";48;-3,79988742028302;37,7778568117925;528,190566037736;"UOCTFG1";233,544187867662
"49";49;-3,79983123773585;37,7778518056604;528,075471698113;"UOCTFG1";238,513221116601
"50";50;-3,79977505518868;37,7778467995283;527,960377358491;"UOCTFG1";243,482254697696
"51";51;-3,79971887264151;37,7778417933962;527,845283018868;"UOCTFG1";248,45128861093
"52";52;-3,79966269009434;37,7778367872641;527,730188679245;"UOCTFG1";253,420322856642
"53";53;-3,79960650754717;37,7778317811321;527,615094339623;"UOCTFG1";258,389357433234
"54";54;-3,799550325;37,777826775;527,5;"UOCTFG1";263,358392343543
"55";55;-3,79949414245283;37,7778217688679;527,384905660377;"UOCTFG1";268,327427586073
"56";56;-3,79943795990566;37,7778167627359;527,269811320755;"UOCTFG1";273,296463159654
"57";57;-3,79938177735849;37,7778117566038;527,154716981132;"UOCTFG1";278,265499066558
"58";58;-3,79932559481132;37,7778067504717;527,039622641509;"UOCTFG1";283,234535306046
"59";59;-3,79926941226415;37,7778017443396;526,924528301887;"UOCTFG1";288,203571877588
"60";60;-3,79921322971698;37,7777967382075;526,809433962264;"UOCTFG1";293,172608781495
"61";61;-3,79915704716981;37,7777917320755;526,694339622642;"UOCTFG1";298,141646016404
"62";62;-3,79910086462264;37,7777867259434;526,579245283019;"UOCTFG1";303,110683584771
"63";63;-3,79904468207547;37,7777817198113;526,464150943396;"UOCTFG1";308,079721485527
"64";64;-3,7989884995283;37,7777767136792;526,349056603774;"UOCTFG1";313,048759718449
"65";65;-3,79893231698113;37,7777717075472;526,233962264151;"UOCTFG1";318,017798282478
"66";66;-3,79887613443396;37,7777667014151;526,118867924528;"UOCTFG1";322,986837180177
"67";67;-3,79881995188679;37,777761695283;526,003773584906;"UOCTFG1";327,955876409904
